article_id,title,slug,keyword,status,draft_path,published_url,updated_at,notes,queue_id,article_title,article_type,draft_file,quality_score,created_at
q000003,FS040W povo 設定の選び方とおすすめ候補,q000003,FS040W povo 設定,draft_ready,output/drafts/q000003_draft.md,,2026-06-12T12:10:20Z,registered_from=q000003 | quality_pass,q000003,FS040W povo 設定の選び方とおすすめ候補,seo_article,output/drafts/q000003_draft.md,100,2026-06-12T12:10:20Z
q000005,motorola edge 60はどんな人向け？特徴を整理,q000005,motorola edge 60,draft_ready,output/drafts/q000005_draft.md,,2026-06-13T14:45:12Z,registered_from=q000005 | quality_pass | source=rss | source URL: https://k-tai.watch.impress.co.jp/docs/news/2116804.html | product_id=motorola-edge-60-product-001 | offer_id=motorola-edge-60-offer-001 | product/offer URL needs check | strong CTA not allowed until URL confirmed,q000005,motorola edge 60はどんな人向け？特徴を整理,review,output/drafts/q000005_draft.md,100,2026-06-13T14:45:12Z
